landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z
300,-23.497409821,-7.889832497,48.346221924,-4.687005043,-1.573776960,9.643572807
301,4.011207581,-2.815534830,6.059430122,0.800111592,-0.561611891,1.208668470
303,-8.466613770,-2.680512428,-0.331297874,-1.688827038,-0.534679115,-0.066083655
304,-18.443389893,-8.925891876,11.151321411,-3.678884506,-1.780438781,2.224342823
310,-34.682525635,-9.133815765,21.447151184,-6.918088913,-1.821913123,4.278041840
311,-51.029357910,-8.953248978,6.252164364,-10.178774834,-1.785895586,1.247112989
313,2.430107594,-9.929141045,14.946569443,0.484731138,-1.980555892,2.981377363
315,-15.051710129,-2.636098385,16.476213455,-3.002349615,-0.525819898,3.286493778
316,7.269104958,-6.937574387,23.172512054,1.449961066,-1.383831024,4.622197628
319,3.508669376,-6.533125877,15.284099579,0.699870765,-1.303156137,3.048704147
320,-25.878097534,-0.881273150,10.300721169,-5.161878109,-0.175786674,2.054674625
321,-24.165084839,-6.351707458,-9.335553169,-4.820185184,-1.266968727,-1.862153411
322,-28.409694672,-15.385389328,-41.906681061,-5.666853428,-3.068908215,-8.359084129
324,-38.956172943,-5.723091125,13.739405632,-7.770548820,-1.141579270,2.740585566
325,-10.106079102,-2.909717083,21.774791718,-2.015849590,-0.580398381,4.343395710
327,16.958751678,-2.907559633,17.922130585,3.382745266,-0.579968035,3.574909449
331,1.930457115,-2.446150303,-17.466314316,0.385066360,-0.487931162,-3.483988285
333,-51.708625793,-5.746891975,-4.557370186,-10.314268112,-1.146326780,-0.909054101
337,-43.599716187,-2.781641960,-6.207119942,-8.696791649,-0.554851353,-1.238128066
340,-10.740827560,-9.332030296,31.875484467,-2.142462015,-1.861450791,6.358170986
